
--- 2026-09-22 17:19:56.792798 开始记录 ---
Ilog_system_init:log init ok, buf=4096, filter=1
Iio_system_init:IO System Init OK
Iw25qxx_drv_init:W25Q init start
Iw25qxx_drv_init:W25Q init OK (ID:0xEF17)
Iads1255_init:ADS0: Initting
Iads1255_init:Init ok
Iads1255_init:ADS1: Initting
Iads1255_init:Init ok
Iadc_system_init:ADS Init OK
RE35125,4985175,5177203,5033782,5146610
RE35126,4984994,5177355,5033648,5146336
RE35127,4985278,5177166,5034968,5146725
RE35128,4985200,5177118,5031324,5145025
RE35129,4985177,5176800,5033429,5143713
RE35130,4985280,5177333,5031456,5145004
RE35131,4985406,5177113,5031387,5144568
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5029136,5141121
RE35132,4985144,5177083,5031161,5144586
RE35133,4985325,5177385,5032036,5144373
RE35134,4984877,5177333,5031571,5143392
RE35135,4985097,5177337,5030640,5142244
RE35136,4985020,5177445,5031644,5143296
RE35137,4985231,5177306,5029713,5144820
RE35138,4985238,5177734,5031712,5144865
RE35139,4985210,5177492,5029681,5143703
RE35140,4984998,5177490,5030248,5143492
RE35141,4985019,5177187,5030462,5142966
RE35142,4985471,5177739,5030932,5143322
RE35143,4985437,5177271,5030787,5144161
RE35144,4985271,5177235,5031806,5145708
RE35145,4985516,5177167,5034340,5146738
RE35146,4985395,5177528,5034120,5147252
RE35147,4985210,5177338,5035205,5148246
RE35148,4985253,5177688,5034411,5147163
RE35149,4985111,5177434,5034851,5147734
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5029136,5141121
RE35150,4985456,5177664,5034333,5148821
RE35151,4985596,5177461,5035699,5149285
RE35152,4985480,5177458,5036162,5148346
RE35153,4985473,5177494,5035733,5149067
RE35154,4985228,5177620,5035651,5149668
RE35155,4985591,5177627,5037547,5149320
RE35156,4985599,5177528,5037019,5150805
RE35157,4985433,5177281,5036264,5149802
RE35158,4985343,5177319,5036436,5150466
RE35159,4985407,5177619,5036354,5150282
RE35160,4985443,5177831,5037916,5150749
RE35161,4985300,5177348,5039643,5150276
RE35162,4985191,5177327,5038538,5149407
RE35163,4985433,5177022,5035468,5149171
RE35164,4985138,5176985,5036084,5147915
RE35165,4985209,5177093,5035425,5149905
RE35166,4984962,5177167,5036400,5149883
